text	size
freaking	3
future	3
games	3
gas	3
gimme	3
gone	3
hack	3
hackmit	3
happened	3
hate	3
heavy	3
hell	3
home	3
ice	3
imagine	3
instead	3
interesting	3
internships	3
iphone	3
issts	3
kendallmit	3
khan	3
kicks	3
laptop	3
latex	3
lazy	3
leadership	3
learning	3
least	3
lemme	3
less	3
lines	3
listen	3
longer	3
main	3
martina	3
matrix	3
mbta	3
meche	3
memory	3
middle	3
minute	3
minutes	3
money	3
moves	3
multivariable	3
music	3
must	3
nasty	3
near	3
necessary	3
norway	3
notes	3
o2	3
october	3
onshape	3
oops	3
ordered	3
outside	3
paper	3
parking	3
part	3
paying	3
photoshop	3
plan	3
plz	3
poem	3
police	3
possibly	3
precalccalc	3
prep	3
probs	3
propose	3
punting	3
questions	3
rage	3
real	3
realize	3
reason	3
recommend	3
recursion	3
released	3
research	3
respect	3
round	3
run	3
running	3
rust	3
sat	3
save	3
saw	3
says	3
schedule	3
scored	3
scotland	3
sections	3
sell	3
send	3
sexual	3
shack	3
sheet	3
shitstorm	3
side	3
sign	3
simcity	3
single	3
skiing	3
soundtrack	3
soviet	3
speaking	3
spend	3
started	3
starting	3
stayed	3
stop	3
study	3
sucking	3
suddenly	3
suppose	3
systems	3
takes	3
tells	3
three	3
thursday	3
trailer	3
trolling	3
tuesday	3
turns	3
unless	3
vapor	3
vikram	3
walk	3
wallet	3
wat	3
watch	3
water	3
wilderness	3
wish	3
word	3
world	3
wtf	3
yellow	3
yelp	3
york	3
yup	3
0	2
101	2
15	2
1545	2
16th	2
18	2
1900	2
2014	2
2d	2
34	2
358	2
48	2
630	2
aaron	2
accept	2
accident	2
